gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,40960,7168,768,opus,9000,0,299.7425,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1504.53,2082.34,0.0
gfx950,256,40960,7168,3072,opus,9000,0,793.1622,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2274.3,926.74,0.0
gfx950,256,40960,7168,7168,opus,9000,0,1675.9628,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2511.43,556.21,0.0
gfx950,256,40960,7168,16384,opus,9000,0,3666.0813,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2624.25,375.26,0.0
gfx950,256,49152,7168,768,opus,9000,0,360.3469,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1501.79,2075.49,0.0
gfx950,256,49152,7168,3072,opus,9000,0,961.3925,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2251.59,912.9,0.0
gfx950,256,49152,7168,7168,opus,9000,0,2051.0774,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2462.55,540.37,0.0
gfx950,256,49152,7168,16384,opus,9000,0,4517.7664,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2555.44,360.22,0.0
gfx950,256,57344,7168,768,opus,9000,0,413.1771,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,1528.06,2109.58,0.0
gfx950,256,57344,7168,3072,opus,9000,0,1128.9212,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2237.04,903.75,0.0
gfx950,256,57344,7168,7168,opus,9000,0,2367.6303,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2488.86,542.53,0.0
gfx950,256,57344,7168,16384,opus,9000,0,5193.6912,opus_gemm_gfx950_a8w8_mxscale_gemm_bpreshuffle_256x256x256x128_2x2_16x16x128_1x128x128_tiles1_nooob,2593.34,361.79,0.0
